"filename", "language", "YAML", "Batch", "JSON", "XML", "JavaScript", "Dockerfile", "Markdown", "HTML", "Vue.js", "Properties", "Java", "comment", "blank", "total"
"d:\ProjectBisfitsFinal\bisfits\backend\src\main\resources\application.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 10, 6, 28
"d:\ProjectBisfitsFinal\bisfits\backend\src\test\java\edu\ap\projectteambisfits\CategoryServiceImplTests.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 12, 48
"d:\ProjectBisfitsFinal\bisfits\backend\src\test\java\edu\ap\projectteambisfits\CommentServiceImplTest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 12, 50
"d:\ProjectBisfitsFinal\bisfits\backend\src\test\java\edu\ap\projectteambisfits\DefectServiceImplTests.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 14, 10, 47
"d:\ProjectBisfitsFinal\bisfits\backend\src\test\java\edu\ap\projectteambisfits\LocationServiceImplTests.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 13, 49
"d:\ProjectBisfitsFinal\bisfits\backend\src\test\java\edu\ap\projectteambisfits\PriorityServiceImplTest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 10, 45
"d:\ProjectBisfitsFinal\bisfits\backend\src\test\java\edu\ap\projectteambisfits\ProjectteambisfitsApplicationTests.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 5, 14
"d:\ProjectBisfitsFinal\bisfits\backend\src\test\java\edu\ap\projectteambisfits\RoleServiceImplTest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 12, 48
"d:\ProjectBisfitsFinal\bisfits\backend\src\test\java\edu\ap\projectteambisfits\StatusServiceImplTest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 14, 57
"d:\ProjectBisfitsFinal\bisfits\backend\src\test\java\edu\ap\projectteambisfits\TestConfig.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 4, 20
"d:\ProjectBisfitsFinal\bisfits\backend\src\test\java\edu\ap\projectteambisfits\UserServiceImplTest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 7, 16, 73
"d:\ProjectBisfitsFinal\bisfits\docker-compose.yml", "YAML", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 41
"d:\ProjectBisfitsFinal\bisfits\frontend\.eslintrc.js", "JavaScript", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 1, 29
"d:\ProjectBisfitsFinal\bisfits\frontend\Dockerfile", "Dockerfile", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 6, 8, 23
"d:\ProjectBisfitsFinal\bisfits\frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 9, 40
"d:\ProjectBisfitsFinal\bisfits\frontend\babel.config.js", "JavaScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\ProjectBisfitsFinal\bisfits\frontend\package-lock.json", "JSON", 0, 0, 14624, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14625
"d:\ProjectBisfitsFinal\bisfits\frontend\package.json", "JSON", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"d:\ProjectBisfitsFinal\bisfits\frontend\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 1, 3, 25
"d:\ProjectBisfitsFinal\bisfits\frontend\src\App.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 102, 0, 0, 0, 6, 108
"d:\ProjectBisfitsFinal\bisfits\frontend\src\assets\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\ProjectBisfitsFinal\bisfits\frontend\src\components\AdminComponents\CampusCreator.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 7, 79
"d:\ProjectBisfitsFinal\bisfits\frontend\src\components\AdminComponents\ContactCreator.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 7, 111
"d:\ProjectBisfitsFinal\bisfits\frontend\src\components\AdminComponents\ContactUpdater.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 7, 134
"d:\ProjectBisfitsFinal\bisfits\frontend\src\components\AdminComponents\PrimaryCategoryCreator.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 7, 78
"d:\ProjectBisfitsFinal\bisfits\frontend\src\components\AdminComponents\RoleManagement.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 213, 0, 0, 0, 13, 226
"d:\ProjectBisfitsFinal\bisfits\frontend\src\components\AdminComponents\RoomCreator.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 7, 77
"d:\ProjectBisfitsFinal\bisfits\frontend\src\components\AdminComponents\Settings.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 471, 0, 0, 0, 9, 480
"d:\ProjectBisfitsFinal\bisfits\frontend\src\components\AssigningToUser\AssignDefect.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 110, 0, 0, 1, 15, 126
"d:\ProjectBisfitsFinal\bisfits\frontend\src\components\AssigningToUser\AssignedDefectsList.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 131, 0, 0, 1, 14, 146
"d:\ProjectBisfitsFinal\bisfits\frontend\src\components\AssigningToUser\DefectAssignedTable.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 115, 0, 0, 0, 11, 126
"d:\ProjectBisfitsFinal\bisfits\frontend\src\components\AssigningToUser\DefectUnassignedTable.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 294, 0, 0, 6, 22, 322
"d:\ProjectBisfitsFinal\bisfits\frontend\src\components\DataTables\DefectTable.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 307, 0, 0, 0, 17, 324
"d:\ProjectBisfitsFinal\bisfits\frontend\src\components\DataTables\HomeDefectTable.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 288, 0, 0, 1, 19, 308
"d:\ProjectBisfitsFinal\bisfits\frontend\src\components\DataTables\HomeTaskTable.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 274, 0, 0, 1, 16, 291
"d:\ProjectBisfitsFinal\bisfits\frontend\src\components\DataTables\TaskTable.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 218, 0, 0, 0, 14, 232
"d:\ProjectBisfitsFinal\bisfits\frontend\src\components\DefectDetails\CommentSection.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 12, 105
"d:\ProjectBisfitsFinal\bisfits\frontend\src\components\DefectDetails\DefectDetail.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 198, 0, 0, 3, 17, 218
"d:\ProjectBisfitsFinal\bisfits\frontend\src\components\DefectDetails\StatusSection.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 4, 76
"d:\ProjectBisfitsFinal\bisfits\frontend\src\components\DialogCreators\DefectCreator.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 224, 0, 0, 1, 9, 234
"d:\ProjectBisfitsFinal\bisfits\frontend\src\components\DialogCreators\DefectUpdater.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 247, 0, 0, 0, 11, 258
"d:\ProjectBisfitsFinal\bisfits\frontend\src\components\DialogCreators\TaskCreator.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 197, 0, 0, 0, 7, 204
"d:\ProjectBisfitsFinal\bisfits\frontend\src\components\GeneralComponents\AddNotificationButton.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 4, 61
"d:\ProjectBisfitsFinal\bisfits\frontend\src\components\GeneralComponents\Navbar.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 3, 75
"d:\ProjectBisfitsFinal\bisfits\frontend\src\components\GeneralComponents\Overview.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 216, 0, 0, 2, 18, 236
"d:\ProjectBisfitsFinal\bisfits\frontend\src\components\GeneralComponents\ProfilePage.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 6, 49
"d:\ProjectBisfitsFinal\bisfits\frontend\src\components\Login.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 6, 49
"d:\ProjectBisfitsFinal\bisfits\frontend\src\components\PersonalOverviewComponents\DefectCards.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 152, 0, 0, 2, 4, 158
"d:\ProjectBisfitsFinal\bisfits\frontend\src\components\PersonalOverviewComponents\GeneralOverview.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 165, 0, 0, 0, 18, 183
"d:\ProjectBisfitsFinal\bisfits\frontend\src\components\PersonalOverviewComponents\PersonalOverview.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 2, 4, 71
"d:\ProjectBisfitsFinal\bisfits\frontend\src\components\PersonalOverviewComponents\TaskCards.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 111, 0, 0, 1, 3, 115
"d:\ProjectBisfitsFinal\bisfits\frontend\src\components\Photo\PhotoCreator.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 76, 0, 85
"d:\ProjectBisfitsFinal\bisfits\frontend\src\components\TaskDetails\TaskDetail.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 1, 13, 103
"d:\ProjectBisfitsFinal\bisfits\frontend\src\components\backend-api.js", "JavaScript", 0, 0, 0, 0, 245, 0, 0, 0, 0, 0, 0, 29, 16, 290
"d:\ProjectBisfitsFinal\bisfits\frontend\src\main.js", "JavaScript", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 5, 38
"d:\ProjectBisfitsFinal\bisfits\frontend\src\plugins\vuetify.js", "JavaScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\ProjectBisfitsFinal\bisfits\frontend\src\router\index.js", "JavaScript", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 5, 73
"d:\ProjectBisfitsFinal\bisfits\frontend\src\views\Admin.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 5, 32
"d:\ProjectBisfitsFinal\bisfits\frontend\src\views\AdminSettings.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 2, 22
"d:\ProjectBisfitsFinal\bisfits\frontend\src\views\Archive.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 3, 84
"d:\ProjectBisfitsFinal\bisfits\frontend\src\views\DefectDetailPage.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"d:\ProjectBisfitsFinal\bisfits\frontend\src\views\Home.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 2, 30
"d:\ProjectBisfitsFinal\bisfits\frontend\src\views\ListDefectsPage.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 2, 26
"d:\ProjectBisfitsFinal\bisfits\frontend\src\views\PageNotFound.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 2, 37
"d:\ProjectBisfitsFinal\bisfits\frontend\src\views\ProfilePage.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 2, 18
"d:\ProjectBisfitsFinal\bisfits\frontend\src\views\TaskDetailPage.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"d:\ProjectBisfitsFinal\bisfits\frontend\src\views\Users.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 2, 18
"d:\ProjectBisfitsFinal\bisfits\frontend\tests\e2e\.eslintrc.js", "JavaScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\ProjectBisfitsFinal\bisfits\frontend\tests\e2e\custom-assertions\elementCount.js", "JavaScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 15, 4, 35
"d:\ProjectBisfitsFinal\bisfits\frontend\tests\e2e\custom-commands\customExecute.js", "JavaScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 23, 5, 38
"d:\ProjectBisfitsFinal\bisfits\frontend\tests\e2e\custom-commands\openHomepage.js", "JavaScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 14, 2, 24
"d:\ProjectBisfitsFinal\bisfits\frontend\tests\e2e\custom-commands\openHomepageClass.js", "JavaScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 12, 4, 25
"d:\ProjectBisfitsFinal\bisfits\frontend\tests\e2e\globals.js", "JavaScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 84, 12, 105
"d:\ProjectBisfitsFinal\bisfits\frontend\tests\e2e\page-objects\homepage.js", "JavaScript", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 16, 8, 53
"d:\ProjectBisfitsFinal\bisfits\frontend\tests\e2e\specs\falseInputForDefectSearch.js", "JavaScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 11
"d:\ProjectBisfitsFinal\bisfits\frontend\tests\e2e\specs\navigateToAdminPage.js", "JavaScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 0, 19
"d:\ProjectBisfitsFinal\bisfits\frontend\tests\e2e\specs\openCreateDefectTaskDialogInAdminPage.js", "JavaScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 11
"d:\ProjectBisfitsFinal\bisfits\frontend\tests\e2e\specs\openFiltersInAdminPage.js", "JavaScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 3, 0, 23
"d:\ProjectBisfitsFinal\bisfits\frontend\tests\e2e\specs\resetFiltersInAdminPage.js", "JavaScript", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 5, 1, 28
"d:\ProjectBisfitsFinal\bisfits\frontend\tests\e2e\specs\searchForSpecificDefect.js", "JavaScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 11
"d:\ProjectBisfitsFinal\bisfits\frontend\tests\unit\example.spec.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\ProjectBisfitsFinal\bisfits\frontend\vue.config.js", "JavaScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"d:\ProjectBisfitsFinal\bisfits\package-lock.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"Total", "-", 55, 147, 14670, 104, 582, 17, 99, 21, 5293, 38, 2280, 416, 1200, 24922